Symbol,Name,Country,IPO Year,Volume,Sector,Industry
TFC,Truist Financial Corporation Common Stock,United States,,1400915,Finance,Major Banks
TFSL,TFS Financial Corporation Common Stock,United States,,30150,Finance,Savings Institutions
TFX,Teleflex Incorporated Common Stock,United States,,18957,Health Care,Medical/Dental Instruments
TG,Tredegar Corporation Common Stock,United States,,19493,Basic Industries,Specialty Chemicals
TGI,Triumph Group Inc. Common Stock,United States,1996,129319,Capital Goods,Aerospace
TGNA,TEGNA Inc,United States,,301643,Consumer Services,Broadcasting
TGT,Target Corporation Common Stock,United States,,1360175,Consumer Services,Department/Specialty Retail Stores
TGTX,TG Therapeutics Inc. Common Stock,United States,,590759,Health Care,Major Pharmaceuticals
THBR,Thunder Bridge Acquisition II Ltd. Class A Ordinary Shares,United States,2019,1247455,Finance,Business Services
THC,Tenet Healthcare Corporation Common Stock,United States,,350107,Health Care,Hospital/Nursing Management
THCB,Tuscan Holdings Corp. Common Stock,United States,2019,354728,,
THFF,First Financial Corporation Indiana Common Stock,United States,,12715,Finance,Major Banks
THG,Hanover Insurance Group Inc,United States,,15474,Finance,Property-Casualty Insurers
THO,Thor Industries Inc. Common Stock,United States,,156186,Consumer Non-Durables,Homebuilding
THQ,Tekla Healthcare Opportunies Fund Shares of Beneficial Interest,United States,2014,58184,,
THR,Thermon Group Holdings Inc. Common Stock,United States,2011,11392,Consumer Durables,Electrical Products
THRM,Gentherm Inc Common Stock,United States,,28019,Capital Goods,Auto Parts:O.E.M.
THRY,Thryv Holdings Inc. Common Stock,United States,,23608,Capital Goods,Industrial Machinery/Components
THS,Treehouse Foods Inc. Common Stock,United States,,124484,Consumer Non-Durables,Packaged Foods
THW,Tekla World Healthcare Fund Shares of Beneficial Interest,United States,2015,82195,,
TIG,Trean Insurance Group Inc. Common Stock,United States,2020,148,,
TIL,Instil Bio Inc. Common Stock,United States,2021,24537,Health Care,Major Pharmaceuticals
TILE,Interface Inc. Common Stock,United States,,36950,,
TIPT,Tiptree Inc. Common Stock,United States,,78921,Finance,Accident &Health Insurance
TITN,Titan Machinery Inc. Common Stock,United States,2007,36232,,
TJX,TJX Companies Inc. (The) Common Stock,United States,,1084565,Consumer Services,Department/Specialty Retail Stores
TKR,Timken Company (The) Common Stock,United States,,96263,Capital Goods,Metal Fabrications
TLIS,Talis Biomedical Corporation Common Stock,United States,2021,16610,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TLMD,SOC Telemed Inc. Class A Common Stock,United States,2020,77563,Health Care,Managed Health Care
TLS,Telos Corporation Common Stock,United States,2020,131443,Technology,EDP Services
TLYS,Tilly's Inc. Common Stock,United States,2012,41142,,
TMCI,Treace Medical Concepts Inc. Common Stock,United States,2021,61695,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TMDX,TransMedics Group Inc. Common Stock,United States,2019,191074,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TMHC,Taylor Morrison Home Corporation Common Stock,United States,2013,314041,Capital Goods,Homebuilding
TMKR,Tastemaker Acquisition Corp. Class A Common Stock,United States,2021,10186,,
TMO,Thermo Fisher Scientific Inc Common Stock,United States,,526936,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TMP,Tompkins Financial Corporation Common Stock,United States,,3705,Finance,Major Banks
TMST,TimkenSteel Corporation Common Shares,United States,2014,623796,Basic Industries,Steel/Iron Ore
TMUS,T-Mobile US Inc. Common Stock,United States,,1010583,Public Utilities,Telecommunications Equipment
TNC,Tennant Company Common Stock,United States,,5621,Capital Goods,Industrial Machinery/Components
TNDM,Tandem Diabetes Care Inc. Common Stock,United States,2013,366546,Health Care,Medical/Dental Instruments
TNL,Travel   Leisure Co. Common  Stock,United States,,63612,Transportation,Other Consumer Services
TNXP,Tonix Pharmaceuticals Holding Corp. Common Stock,United States,,3985841,Health Care,Major Pharmaceuticals
TOL,Toll Brothers Inc. Common Stock,United States,,318062,Capital Goods,Homebuilding
TOWN,TowneBank Common Stock,United States,,25426,,
TPB,Turning Point Brands Inc. Common Stock,United States,2016,28665,Consumer Non-Durables,Tobacco
TPC,Tutor Perini Corporation Common Stock,United States,,50510,Capital Goods,Engineering & Construction
TPCO,Tribune Publishing Company Common Stock,United States,,90829,Consumer Services,Newspapers/Magazines
TPGY,TPG Pace Beneficial Finance Corp. Class A Ordinary Shares,United States,2020,641400,Finance,Business Services
TPH,Tri Pointe Homes Inc. Common Stock,United States,2013,267592,Capital Goods,Homebuilding
TPIC,TPI Composites Inc. Common Stock,United States,2016,240641,Technology,Industrial Machinery/Components
TPL,Texas Pacific Land Corporation Common Stock,United States,,12059,Energy,Oil & Gas Production
TPR,Tapestry Inc. Common Stock,United States,,858061,Consumer Non-Durables,Apparel
TPTX,Turning Point Therapeutics Inc. Common Stock,United States,2019,186810,Health Care,Major Pharmaceuticals
TPX,Tempur Sealy International Inc. Common Stock,United States,2003,399538,Consumer Durables,Home Furnishings
TR,Tootsie Roll Industries Inc. Common Stock,United States,,29832,Consumer Non-Durables,Specialty Foods
TRC,Tejon Ranch Co Common Stock,United States,,15862,Finance,Major Banks
TREB,Trebia Acquisition Corp. Class A Ordinary Shares,United States,2020,48403,Finance,Business Services
TREE,LendingTree Inc. Common Stock,United States,,158666,Finance,Finance: Consumer Services
TREX,Trex Company Inc. Common Stock,United States,,284302,,
TRGP,Targa Resources Inc. Common Stock,United States,2010,678979,Public Utilities,Natural Gas Distribution
TRHC,Tabula Rasa HealthCare Inc. Common Stock,United States,2016,27980,Health Care,Medical/Nursing Services
TRI,Thomson Reuters Corp Ordinary Shares,United States,,96812,,
TRIN,Trinity Capital Inc. Common Stock,United States,2021,12079,Finance,Finance/Investors Services
TRIP,TripAdvisor Inc. Common Stock,United States,,960554,,
TRMB,Trimble Inc. Common Stock,United States,1990,423813,Capital Goods,Industrial Machinery/Components
TRMK,Trustmark Corporation Common Stock,United States,,25098,Finance,Major Banks
TRN,Trinity Industries Inc. Common Stock,United States,,104675,Capital Goods,Railroads
TRNO,Terreno Realty Corporation Common Stock,United States,2010,21480,Consumer Services,Real Estate Investment Trusts
TRNS,Transcat Inc. Common Stock,United States,,15093,Technology,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,United States,1986,298320,Finance,Investment Managers
TROX,Tronox Holdings plc Ordinary Shares (UK),United States,,263511,Basic Industries,Multi-Sector Companies
TRS,TriMas Corporation Common Stock,United States,2007,11367,Technology,Industrial Machinery/Components
